name_pt,category_pt,energy_kcal_100g,energy_kj_100g,carbohydrates_100g,proteins_100g,fat_100g,fiber_100g,sugars_100g,sodium_mg_100g,glycemic_index
"Alfavaca, crua",,29.183613081057864,122.1042371311461,,,,,,,
"Alho, cru",,113.12987826086957,473.3354106434783,,,,,,,
"Alho-poró, cru",,31.5079193532467,131.8291345739842,,,,,,,
"Almeirão, cru",,18.034428985507237,75.45605087536228,,,,,,,
"Almeirão, refogado",,65.08191082886853,272.30271490798594,,,,,,,
"Batata, baroa, cozida",,80.11976250000004,335.22108630000014,,,,,,,
"Batata, baroa, crua",,100.98492318840582,422.52091862028993,,,,,,,
"Batata, doce, cozida",,76.75961050343517,321.1622103463728,,,,,,,
"Batata, doce, crua",,118.24137536231882,494.721914515942,,,,,,,
"Batata, frita, tipo chips, industrializada",,542.7346733841896,2270.8018734394495,,,,,,,
"Batata, inglesa, cozida",,51.588476636270656,215.84618624615644,,,,,,,
"Batata, inglesa, crua",,64.3702260869565,269.325025947826,,,,,,,
"Batata, inglesa, frita",,267.15742250204084,1117.786655748539,,,,,,,
Descrição dos alimentos,,,,,,,,,,
"Batata, inglesa, sauté",,67.88793615063032,284.0431248542373,,,,,,,
"Berinjela, cozida",,18.845285556813074,78.84867476970591,,,,,,,
"Berinjela, crua",,19.62775362318839,82.12252115942023,,,,,,,
"Beterraba, cozida",,32.15432433140276,134.53369300258916,,,,,,,
"Beterraba, crua",,48.82850869565215,204.2984803826086,,,,,,,
"Biscoito, polvilho doce",,437.54900000000004,1830.7050160000001,,,,,,,
"Brócolis, cozido",,24.63616311136879,103.07770645796703,,,,,,,
"Brócolis, cru",,25.495131884057955,106.67163180289849,,,,,,,
"Cará, cozido",,77.58491333333336,324.6152773866668,,,,,,,
"Cará, cru",,95.6331347826087,400.12903593043484,,,,,,,
"Caruru, cru",,34.03162971734997,142.38833873739227,,,,,,,
"Catalonha, crua",,23.888412257373297,99.94911688484987,,,,,,,
"Catalonha, refogada",,63.449269148826616,265.4717421186906,,,,,,,
"Cebola, crua",,39.420046376811584,164.93347404057968,,,,,,,
"Cebolinha, crua",,19.515885507246438,81.6544649623191,,,,,,,
"Cenoura, cozida",,29.86177771015958,124.94167793930768,,,,,,,
"Cenoura, crua",,34.13538840579714,142.82246508985523,,,,,,,
"Chicória, crua",,13.837120289855097,57.89451129275373,,,,,,,
"Chuchu, cozido",,18.53979053137702,77.57048358328144,,,,,,,
"Chuchu, cru",,16.97891884057972,71.03979642898555,,,,,,,
"Coentro, folhas desidratadas",,309.0707468044758,1293.1520046299268,,,,,,,
"Couve, manteiga, crua",,27.05669710144928,113.2052206724638,,,,,,,
"Couve, manteiga, refogada",,90.34481542611123,378.0027077428494,,,,,,,
"Couve-flor, crua",,22.56334927536229,94.40505336811583,,,,,,,
"Couve-flor, cozida",,19.114140614728182,79.97356433202272,,,,,,,
"Espinafre, Nova Zelândia, cru",,16.095694202898525,67.34438454492744,,,,,,,
"Espinafre, Nova Zelândia, refogado",,67.25365175066395,281.38927892477795,,,,,,,
"Farinha, de mandioca, crua",,360.8696985507246,1509.8788187362318,,,,,,,
"Farinha, de mandioca, torrada",,365.268975,1528.2853914000002,,,,,,,
"Farinha, de puba",,360.17977487993244,1506.9921780976374,,,,,,,
"Fécula, de mandioca",,330.85055833333337,1384.2787360666669,,,,,,,
"Feijão, broto, cru",,38.723236375411325,162.01802099472098,,,,,,,
Descrição dos alimentos,,,,,,,,,,
"Inhame, cru",,96.69983188405796,404.5920966028985,,,,,,,
"Jiló, cru",,27.36514347826087,114.49576031304348,,,,,,,
"Jurubeba, crua",,125.81163499999998,526.3958808399999,,,,,,,
"Mandioca, cozida",,125.35825000000003,524.4989180000001,,,,,,,
"Mandioca, crua",,151.4169565217391,633.5285460869565,,,,,,,
"Mandioca, farofa, temperada",,405.69394166666666,1697.4234519333334,,,,,,,
